Date,Fight Link,Event Link,Fight Number,Round,Fighter 1,Fighter 2,Fighter 1 Link,Fighter 2 Link,Fighter 1 TD,Fighter 2 TD,Fighter 1 Sub Att,Fighter 2 Sub Att,Fighter 1 Rev,Fighter 2 Rev,Fighter 1 Ctrl,Fighter 2 Ctrl,Fighter 1 KD,Fighter 2 KD,Fighter 1 Total SS,Fighter 2 Total SS,Fighter 1 Head SS,Fighter 2 Head SS,Fighter 1 Body SS,Fighter 2 Body SS,Fighter 1 Leg SS,Fighter 2 Leg SS,Fighter 1 Distance SS,Fighter 2 Distance SS,Fighter 1 Clinch SS,Fighter 2 Clinch SS,Fighter 1 Ground SS,Fighter 2 Ground SS
2018-07-06,http://ufcstats.com/fight-details/b3caae587e956f54,http://ufcstats.com/event-details/8215e4fe24e8e81b,6,2,Montana De La Rosa,Rachael Ostovich,http://ufcstats.com/fighter-details/80d8aed0ca9b00f3,http://ufcstats.com/fighter-details/01784fbc27c68b14,0 of 3,0 of 0,0,0,0,0,1:08,0:00,0,0,17 of 41,17 of 41,13 of 35,10 of 29,3 of 5,7 of 11,1 of 1,0 of 1,15 of 35,15 of 39,2 of 6,2 of 2,0 of 0,0 of 0
2018-07-06,http://ufcstats.com/fight-details/b3caae587e956f54,http://ufcstats.com/event-details/8215e4fe24e8e81b,6,3,Montana De La Rosa,Rachael Ostovich,http://ufcstats.com/fighter-details/80d8aed0ca9b00f3,http://ufcstats.com/fighter-details/01784fbc27c68b14,0 of 3,0 of 0,1,1,0,0,3:06,0:02,0,0,18 of 32,7 of 10,17 of 29,4 of 7,1 of 3,3 of 3,0 of 0,0 of 0,3 of 9,6 of 9,0 of 3,1 of 1,15 of 20,0 of 0
2018-07-06,http://ufcstats.com/fight-details/4caa0dcdaa253612,http://ufcstats.com/event-details/8215e4fe24e8e81b,5,1,Luis Pena,Richie Smullen,http://ufcstats.com/fighter-details/2844b047183a1adb,http://ufcstats.com/fighter-details/f75c5ca0d91b9115,1 of 1,2 of 3,1,0,1,0,1:02,1:40,1,0,8 of 23,7 of 9,8 of 22,3 of 5,0 of 1,1 of 1,0 of 0,3 of 3,8 of 20,3 of 5,0 of 1,0 of 0,0 of 2,4 of 4
2018-07-06,http://ufcstats.com/fight-details/9fc03704a10977b3,http://ufcstats.com/event-details/8215e4fe24e8e81b,4,1,John Gunther,Allan Zuniga,http://ufcstats.com/fighter-details/3956bdc8ab2e54b3,http://ufcstats.com/fighter-details/523af801b3429015,5 of 8,0 of 0,0,0,0,0,4:30,0:00,0,0,8 of 13,6 of 11,5 of 9,1 of 5,1 of 1,4 of 4,2 of 3,1 of 2,3 of 7,2 of 7,3 of 4,4 of 4,2 of 2,0 of 0
2018-07-06,http://ufcstats.com/fight-details/9fc03704a10977b3,http://ufcstats.com/event-details/8215e4fe24e8e81b,4,2,John Gunther,Allan Zuniga,http://ufcstats.com/fighter-details/3956bdc8ab2e54b3,http://ufcstats.com/fighter-details/523af801b3429015,2 of 6,0 of 0,0,1,0,0,4:01,0:00,0,0,11 of 24,15 of 27,10 of 22,6 of 17,0 of 1,5 of 5,1 of 1,4 of 5,10 of 22,12 of 24,1 of 2,2 of 2,0 of 0,1 of 1
2018-07-06,http://ufcstats.com/fight-details/9fc03704a10977b3,http://ufcstats.com/event-details/8215e4fe24e8e81b,4,3,John Gunther,Allan Zuniga,http://ufcstats.com/fighter-details/3956bdc8ab2e54b3,http://ufcstats.com/fighter-details/523af801b3429015,1 of 5,0 of 0,0,0,0,0,2:39,0:00,0,0,8 of 34,38 of 74,7 of 30,26 of 56,1 of 4,9 of 15,0 of 0,3 of 3,7 of 33,30 of 65,1 of 1,8 of 9,0 of 0,0 of 0
2018-07-06,http://ufcstats.com/fight-details/ca3963b76a38c408,http://ufcstats.com/event-details/8215e4fe24e8e81b,3,1,Tyler Diamond,Bryce Mitchell,http://ufcstats.com/fighter-details/f5f6419c5f00abad,http://ufcstats.com/fighter-details/d9c6f19f958643e9,1 of 1,2 of 5,0,0,1,0,1:01,1:23,0,0,11 of 42,15 of 30,6 of 35,6 of 17,2 of 4,9 of 13,3 of 3,0 of 0,10 of 37,9 of 21,1 of 4,6 of 9,0 of 1,0 of 0
2018-07-06,http://ufcstats.com/fight-details/ca3963b76a38c408,http://ufcstats.com/event-details/8215e4fe24e8e81b,3,2,Tyler Diamond,Bryce Mitchell,http://ufcstats.com/fighter-details/f5f6419c5f00abad,http://ufcstats.com/fighter-details/d9c6f19f958643e9,0 of 1,1 of 4,0,1,1,0,3:35,0:46,0,0,20 of 29,19 of 25,13 of 22,19 of 22,6 of 6,0 of 3,1 of 1,0 of 0,3 of 8,0 of 4,0 of 0,1 of 1,17 of 21,18 of 20
2018-07-06,http://ufcstats.com/fight-details/ca3963b76a38c408,http://ufcstats.com/event-details/8215e4fe24e8e81b,3,3,Tyler Diamond,Bryce Mitchell,http://ufcstats.com/fighter-details/f5f6419c5f00abad,http://ufcstats.com/fighter-details/d9c6f19f958643e9,2 of 2,0 of 1,0,0,0,0,3:56,0:03,0,0,20 of 36,4 of 14,15 of 31,4 of 11,4 of 4,0 of 2,1 of 1,0 of 1,7 of 17,4 of 14,0 of 1,0 of 0,13 of 18,0 of 0
2018-07-06,http://ufcstats.com/fight-details/4d549f33c0711a7a,http://ufcstats.com/event-details/8215e4fe24e8e81b,2,1,Matt Bessette,Steven Peterson,http://ufcstats.com/fighter-details/0b8d512c79b4baf3,http://ufcstats.com/fighter-details/b93c06d09d1c4ac0,0 of 2,0 of 0,0,1,0,0,1:12,1:21,0,0,25 of 60,22 of 60,17 of 50,9 of 46,6 of 8,7 of 8,2 of 2,6 of 6,19 of 51,17 of 48,4 of 7,5 of 12,2 of 2,0 of 0
